date,venue,teams,toss_winner,toss_decision,match_winner,players
2020-10-10,Dubai International Cricket Stadium,"('Chennai Super Kings', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'F du Plessis', 'KV Sharma', 'MS Dhoni', 'N Jagadeesan', 'RA Jadeja', 'SM Curran', 'SN Thakur', 'SR Watson'), ('AB de Villiers', 'AJ Finch', 'CH Morris', 'D Padikkal', 'Gurkeerat Singh', 'I Udana', 'NA Saini', 'S Dube', 'V Kohli', 'Washington Sundar', 'YS Chahal'))"
2013-04-13,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Royal Challengers Bangalore')",Chennai Super Kings,field,Chennai Super Kings,"(('CH Morris', 'DJ Bravo', 'DP Nannes', 'M Vijay', 'MEK Hussey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SK Raina'), ('AB de Villiers', 'CH Gayle', 'DT Christian', 'J Syed Mohammad', 'KB Arun Karthik', 'M Kartik', 'MA Agarwal', 'R Rampaul', 'R Vinay Kumar', 'RP Singh', 'V Kohli'))"
2018-05-05,Rajiv Gandhi International Stadium,"('Delhi Daredevils', 'Sunrisers Hyderabad')",Delhi Daredevils,bat,Sunrisers Hyderabad,"(('A Mishra', 'Avesh Khan', 'DT Christian', 'GJ Maxwell', 'LE Plunkett', 'NV Ojha', 'PP Shaw', 'RR Pant', 'SS Iyer', 'TA Boult', 'V Shankar'), ('AD Hales', 'B Kumar', 'KS Williamson', 'MK Pandey', 'Rashid Khan', 'S Dhawan', 'S Kaul', 'Sandeep Sharma', 'Shakib Al Hasan', 'WP Saha', 'YK Pathan'))"
2025-04-30,"MA Chidambaram Stadium, Chepauk, Chennai","('Chennai Super Kings', 'Punjab Kings')",Punjab Kings,field,Punjab Kings,"(('A Kamboj', 'A Mhatre', 'D Brevis', 'DJ Hooda', 'KK Ahmed', 'M Pathirana', 'MS Dhoni', 'Noor Ahmad', 'RA Jadeja', 'S Dube', 'SK Rasheed', 'SM Curran'), ('Arshdeep Singh', 'Azmatullah Omarzai', 'Harpreet Brar', 'JP Inglis', 'M Jansen', 'N Wadhera', 'P Simran Singh', 'Priyansh Arya', 'SS Iyer', 'Shashank Singh', 'Suryansh Shedge', 'YS Chahal'))"
2025-04-16,"Arun Jaitley Stadium, Delhi","('Delhi Capitals', 'Rajasthan Royals')",Rajasthan Royals,field,no-result,"(('AR Patel', 'Abishek Porel', 'Ashutosh Sharma', 'J Fraser-McGurk', 'KK Nair', 'KL Rahul', 'Kuldeep Yadav', 'MA Starc', 'MM Sharma', 'Mukesh Kumar', 'T Stubbs', 'V Nigam'), ('Dhruv Jurel', 'JC Archer', 'M Theekshana', 'N Rana', 'PWH de Silva', 'R Parag', 'SB Dubey', 'SO Hetmyer', 'SV Samson', 'Sandeep Sharma', 'TU Deshpande', 'YBK Jaiswal'))"
2018-04-21,M.Chinnaswamy Stadium,"('Delhi Daredevils', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('CH Morris', 'G Gambhir', 'GJ Maxwell', 'HV Patel', 'JJ Roy', 'R Tewatia', 'RR Pant', 'S Nadeem', 'SS Iyer', 'TA Boult', 'V Shankar'), ('AB de Villiers', 'CJ Anderson', 'CR Woakes', 'M Vohra', 'Mandeep Singh', 'Mohammed Siraj', 'Q de Kock', 'UT Yadav', 'V Kohli', 'Washington Sundar', 'YS Chahal'))"
2017-05-12,Feroz Shah Kotla,"('Delhi Daredevils', 'Rising Pune Supergiant')",Delhi Daredevils,bat,Delhi Daredevils,"(('A Mishra', 'CJ Anderson', 'KK Nair', 'MN Samuels', 'Mohammed Shami', 'PJ Cummins', 'RR Pant', 'S Nadeem', 'SS Iyer', 'SV Samson', 'Z Khan'), ('A Zampa', 'AM Rahane', 'BA Stokes', 'DT Christian', 'JD Unadkat', 'MK Tiwary', 'MS Dhoni', 'RA Tripathi', 'SN Thakur', 'SPD Smith', 'Washington Sundar'))"
2011-04-21,"Punjab Cricket Association Stadium, Mohali","('Kings XI Punjab', 'Rajasthan Royals')",Rajasthan Royals,field,Kings XI Punjab,"(('AC Gilchrist', 'AM Nayar', 'BA Bhatt', 'KD Karthik', 'P Kumar', 'PC Valthaty', 'PP Chawla', 'R McLaren', 'RJ Harris', 'SE Marsh', 'Sunny Singh'), ('AL Menaria', 'AS Raut', 'DH Yagnik', 'LRPL Taylor', 'R Dravid', 'SA Asnodkar', 'SK Trivedi', 'SK Warne', 'SR Watson', 'STR Binny', 'SW Tait'))"
2010-03-22,Brabourne Stadium,"('Kolkata Knight Riders', 'Mumbai Indians')",Kolkata Knight Riders,bat,Mumbai Indians,"(('AD Mathews', 'CA Pujara', 'CH Gayle', 'Harpreet Singh', 'I Sharma', 'M Kartik', 'Mandeep Singh', 'OA Shah', 'SC Ganguly', 'SE Bond', 'WP Saha'), ('AP Tare', 'DJ Bravo', 'Harbhajan Singh', 'KA Pollard', 'R McLaren', 'R Sathish', 'S Dhawan', 'SL Malinga', 'SR Tendulkar', 'SS Tiwary', 'Z Khan'))"
2019-04-11,Sawai Mansingh Stadium,"('Chennai Super Kings', 'Rajasthan Royals')",Chennai Super Kings,field,Chennai Super Kings,"(('AT Rayudu', 'DL Chahar', 'F du Plessis', 'Imran Tahir', 'KM Jadhav', 'MJ Santner', 'MS Dhoni', 'RA Jadeja', 'SK Raina', 'SN Thakur', 'SR Watson'), ('AM Rahane', 'BA Stokes', 'DS Kulkarni', 'JC Archer', 'JC Buttler', 'JD Unadkat', 'R Parag', 'RA Tripathi', 'S Gopal', 'SPD Smith', 'SV Samson'))"
2022-05-10,"Maharashtra Cricket Association Stadium, Pune","('Gujarat Titans', 'Lucknow Super Giants')",Gujarat Titans,bat,Gujarat Titans,"(('AS Joseph', 'DA Miller', 'HH Pandya', 'MS Wade', 'Mohammed Shami', 'R Sai Kishore', 'R Tewatia', 'Rashid Khan', 'Shubman Gill', 'WP Saha', 'Yash Dayal'), ('A Badoni', 'Avesh Khan', 'DJ Hooda', 'JO Holder', 'KH Pandya', 'KL Rahul', 'KS Sharma', 'MP Stoinis', 'Mohsin Khan', 'PVD Chameera', 'Q de Kock'))"
2014-05-24,M Chinnaswamy Stadium,"('Chennai Super Kings', 'Royal Challengers Bangalore')",Chennai Super Kings,field,Chennai Super Kings,"(('A Nehra', 'DJ Hussey', 'DR Smith', 'F du Plessis', 'M Manhas', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badree', 'SK Raina'), ('AB de Villiers', 'MA Starc', 'R Rampaul', 'RR Rossouw', 'S Rana', 'SB Jakati', 'V Kohli', 'VH Zol', 'YS Chahal', 'YV Takawale', 'Yuvraj Singh'))"
