date,venue,teams,toss_winner,toss_decision,match_winner,players
2021-10-07,Dubai International Cricket Stadium,"('Chennai Super Kings', 'Punjab Kings')",Punjab Kings,field,Punjab Kings,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'F du Plessis', 'JR Hazlewood', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'RV Uthappa', 'SN Thakur'), ('AK Markram', 'Arshdeep Singh', 'CJ Jordan', 'Harpreet Brar', 'KL Rahul', 'M Shahrukh Khan', 'MA Agarwal', 'MC Henriques', 'Mohammed Shami', 'Ravi Bishnoi', 'SN Khan'))"
2010-04-18,Feroz Shah Kotla,"('Deccan Chargers', 'Delhi Daredevils')",Deccan Chargers,bat,Deccan Chargers,"(('A Symonds', 'AC Gilchrist', 'B Sumanth', 'Harmeet Singh', 'MD Mishra', 'MR Marsh', 'PP Ojha', 'R Sharma', 'RG Sharma', 'TL Suman', 'WPUJC Vaas'), ('A Mishra', 'A Nehra', 'DA Warner', 'DP Nannes', 'G Gambhir', 'KD Karthik', 'M Manhas', 'PD Collingwood', 'TM Dilshan', 'UT Yadav', 'V Sehwag'))"
2008-05-14,Wankhede Stadium,"('Chennai Super Kings', 'Mumbai Indians')",Mumbai Indians,field,Mumbai Indians,"(('CK Kapugedera', 'JA Morkel', 'Joginder Sharma', 'L Balaji', 'M Muralitharan', 'MS Dhoni', 'MS Gony', 'S Badrinath', 'S Vidyut', 'SK Raina', 'SP Fleming'), ('A Nehra', 'AM Nayar', 'DJ Bravo', 'DJ Thornely', 'DS Kulkarni', 'RR Raje', 'RV Uthappa', 'SM Pollock', 'SR Tendulkar', 'ST Jayasuriya', 'YV Takawale'))"
2017-04-12,Wankhede Stadium,"('Mumbai Indians', 'Sunrisers Hyderabad')",Mumbai Indians,field,Mumbai Indians,"(('HH Pandya', 'Harbhajan Singh', 'JC Buttler', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'MJ McClenaghan', 'N Rana', 'PA Patel', 'RG Sharma', 'SL Malinga'), ('A Nehra', 'B Kumar', 'BCJ Cutting', 'DA Warner', 'DJ Hooda', 'Mustafizur Rahman', 'NV Ojha', 'Rashid Khan', 'S Dhawan', 'V Shankar', 'Yuvraj Singh'))"
2011-05-19,Dr DY Patil Sports Academy,"('Kolkata Knight Riders', 'Pune Warriors')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('B Lee', 'G Gambhir', 'Iqbal Abdulla', 'JH Kallis', 'L Balaji', 'MK Tiwary', 'R Bhatia', 'RN ten Doeschate', 'SP Goswami', 'Shakib Al Hasan', 'YK Pathan'), ('AC Thomas', 'B Kumar', 'CJ Ferguson', 'JD Ryder', 'MK Pandey', 'R Sharma', 'RV Uthappa', 'S Rana', 'SC Ganguly', 'WD Parnell', 'Yuvraj Singh'))"
2024-03-31,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","('Chennai Super Kings', 'Delhi Capitals')",Delhi Capitals,bat,Delhi Capitals,"(('AM Rahane', 'DJ Mitchell', 'DL Chahar', 'M Pathirana', 'MS Dhoni', 'Mustafizur Rahman', 'R Ravindra', 'RA Jadeja', 'RD Gaikwad', 'S Dube', 'Sameer Rizvi', 'TU Deshpande'), ('A Nortje', 'AR Patel', 'Abishek Porel', 'DA Warner', 'I Sharma', 'KK Ahmed', 'MR Marsh', 'Mukesh Kumar', 'PP Shaw', 'RR Pant', 'Rasikh Salam', 'T Stubbs'))"
2012-05-01,Barabati Stadium,"('Deccan Chargers', 'Pune Warriors')",Deccan Chargers,bat,Deccan Chargers,"(('A Ashish Reddy', 'A Mishra', 'Ankit Sharma', 'BB Samantray', 'CL White', 'DW Steyn', 'JP Duminy', 'KC Sangakkara', 'PA Patel', 'S Dhawan', 'V Pratap Singh'), ('A Nehra', 'B Kumar', 'M Kartik', 'M Manhas', 'MJ Clarke', 'MK Pandey', 'MN Samuels', 'RV Uthappa', 'SC Ganguly', 'SPD Smith', 'WD Parnell'))"
2013-05-07,Wankhede Stadium,"('Kolkata Knight Riders', 'Mumbai Indians')",Mumbai Indians,bat,Mumbai Indians,"(('DB Das', 'EJG Morgan', 'G Gambhir', 'Iqbal Abdulla', 'JH Kallis', 'L Balaji', 'MS Bisla', 'R Bhatia', 'R McLaren', 'SP Narine', 'YK Pathan'), ('AN Ahmed', 'AT Rayudu', 'DR Smith', 'Harbhajan Singh', 'KA Pollard', 'KD Karthik', 'MG Johnson', 'PP Ojha', 'RG Sharma', 'SL Malinga', 'SR Tendulkar'))"
2023-04-16,"Narendra Modi Stadium, Ahmedabad","('Gujarat Titans', 'Rajasthan Royals')",Rajasthan Royals,field,Rajasthan Royals,"(('A Manohar', 'AS Joseph', 'B Sai Sudharsan', 'DA Miller', 'HH Pandya', 'MM Sharma', 'Mohammed Shami', 'Noor Ahmad', 'R Tewatia', 'Rashid Khan', 'Shubman Gill', 'WP Saha'), ('A Zampa', 'D Padikkal', 'Dhruv Jurel', 'JC Buttler', 'R Ashwin', 'R Parag', 'SO Hetmyer', 'SV Samson', 'Sandeep Sharma', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'))"
2023-04-02,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","('Rajasthan Royals', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,field,Rajasthan Royals,"(('D Padikkal', 'JC Buttler', 'JO Holder', 'KM Asif', 'NA Saini', 'R Ashwin', 'R Parag', 'SO Hetmyer', 'SV Samson', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'), ('AU Rashid', 'Abdul Samad', 'Abhishek Sharma', 'B Kumar', 'Fazalhaq Farooqi', 'GD Phillips', 'HC Brook', 'MA Agarwal', 'RA Tripathi', 'T Natarajan', 'Umran Malik', 'Washington Sundar'))"
2021-04-29,"Narendra Modi Stadium, Ahmedabad","('Delhi Capitals', 'Kolkata Knight Riders')",Delhi Capitals,field,Delhi Capitals,"(('AR Patel', 'Avesh Khan', 'I Sharma', 'K Rabada', 'Lalit Yadav', 'MP Stoinis', 'PP Shaw', 'RR Pant', 'S Dhawan', 'SO Hetmyer', 'SPD Smith'), ('AD Russell', 'CV Varun', 'EJG Morgan', 'KD Karthik', 'M Prasidh Krishna', 'N Rana', 'PJ Cummins', 'RA Tripathi', 'SP Narine', 'Shivam Mavi', 'Shubman Gill'))"
2018-05-18,Arun Jaitley Stadium,"('Chennai Super Kings', 'Delhi Daredevils')",Chennai Super Kings,field,Delhi Daredevils,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'Harbhajan Singh', 'L Ngidi', 'MS Dhoni', 'RA Jadeja', 'SK Raina', 'SN Thakur', 'SR Watson', 'SW Billings'), ('A Mishra', 'Abhishek Sharma', 'Avesh Khan', 'GJ Maxwell', 'HV Patel', 'PP Shaw', 'RR Pant', 'S Lamichhane', 'SS Iyer', 'TA Boult', 'V Shankar'))"
2011-05-01,Sawai Mansingh Stadium,"('Pune Warriors', 'Rajasthan Royals')",Rajasthan Royals,field,Rajasthan Royals,"(('AC Thomas', 'Harpreet Singh', 'JD Ryder', 'JE Taylor', 'M Kartik', 'M Manhas', 'MK Pandey', 'NL McCullum', 'R Sharma', 'RV Uthappa', 'Yuvraj Singh'), ('A Singh', 'AL Menaria', 'AM Rahane', 'DH Yagnik', 'J Botha', 'LRPL Taylor', 'R Dravid', 'SK Trivedi', 'SK Warne', 'SR Watson', 'STR Binny'))"
2010-04-03,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Rajasthan Royals')",Chennai Super Kings,bat,Chennai Super Kings,"(('DE Bollinger', 'JA Morkel', 'M Muralitharan', 'M Vijay', 'ML Hayden', 'MS Dhoni', 'S Anirudha', 'S Badrinath', 'S Tyagi', 'SB Jakati', 'SK Raina'), ('AA Jhunjhunwala', 'AS Raut', 'FY Fazal', 'MJ Lumb', 'NV Ojha', 'S Narwal', 'SB Wagh', 'SK Warne', 'SR Watson', 'SW Tait', 'YK Pathan'))"
2013-04-10,"Punjab Cricket Association Stadium, Mohali","('Chennai Super Kings', 'Kings XI Punjab')",Chennai Super Kings,field,Chennai Super Kings,"(('AS Rajpoot', 'CH Morris', 'DJ Bravo', 'DP Nannes', 'M Vijay', 'MEK Hussey', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SK Raina'), ('AC Gilchrist', 'Azhar Mahmood', 'DJ Hussey', 'Gurkeerat Singh', 'M Vohra', 'Mandeep Singh', 'P Awana', 'P Kumar', 'PP Chawla', 'R Sathish', 'RJ Harris'))"
2020-11-01,Dubai International Cricket Stadium,"('Kolkata Knight Riders', 'Rajasthan Royals')",Rajasthan Royals,field,Kolkata Knight Riders,"(('AD Russell', 'CV Varun', 'EJG Morgan', 'KD Karthik', 'KL Nagarkoti', 'N Rana', 'PJ Cummins', 'RA Tripathi', 'SP Narine', 'Shivam Mavi', 'Shubman Gill'), ('BA Stokes', 'JC Archer', 'JC Buttler', 'Kartik Tyagi', 'R Parag', 'R Tewatia', 'RV Uthappa', 'S Gopal', 'SPD Smith', 'SV Samson', 'VR Aaron'))"
2025-05-06,"Wankhede Stadium, Mumbai","('Gujarat Titans', 'Mumbai Indians')",Gujarat Titans,field,Gujarat Titans,"(('Arshad Khan', 'B Sai Sudharsan', 'G Coetzee', 'JC Buttler', 'M Prasidh Krishna', 'M Shahrukh Khan', 'Mohammed Siraj', 'R Sai Kishore', 'R Tewatia', 'Rashid Khan', 'SE Rutherford', 'Shubman Gill'), ('Ashwani Kumar', 'C Bosch', 'DL Chahar', 'HH Pandya', 'JJ Bumrah', 'KV Sharma', 'Naman Dhir', 'RD Rickelton', 'RG Sharma', 'SA Yadav', 'TA Boult', 'Tilak Varma', 'WG Jacks'))"
2018-04-24,Wankhede Stadium,"('Mumbai Indians', 'Sunrisers Hyderabad')",Mumbai Indians,field,Sunrisers Hyderabad,"(('E Lewis', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'M Markande', 'MJ McClenaghan', 'Mustafizur Rahman', 'RG Sharma', 'SA Yadav'), ('Basil Thampi', 'KS Williamson', 'MK Pandey', 'Mohammad Nabi', 'Rashid Khan', 'S Dhawan', 'S Kaul', 'Sandeep Sharma', 'Shakib Al Hasan', 'WP Saha', 'YK Pathan'))"
2015-04-22,M Chinnaswamy Stadium,"('Chennai Super Kings', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Chennai Super Kings,"(('A Nehra', 'BB McCullum', 'DJ Bravo', 'DR Smith', 'F du Plessis', 'IC Pandey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('AB de Villiers', 'D Wiese', 'HV Patel', 'Iqbal Abdulla', 'KD Karthik', 'MA Starc', 'MS Bisla', 'RR Rossouw', 'SN Khan', 'V Kohli', 'YS Chahal'))"
2019-03-28,M.Chinnaswamy Stadium,"('Mumbai Indians', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Mumbai Indians,"(('HH Pandya', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'M Markande', 'MJ McClenaghan', 'Q de Kock', 'RG Sharma', 'SA Yadav', 'SL Malinga', 'Yuvraj Singh'), ('AB de Villiers', 'C de Grandhomme', 'MM Ali', 'Mohammed Siraj', 'NA Saini', 'PA Patel', 'S Dube', 'SO Hetmyer', 'UT Yadav', 'V Kohli', 'YS Chahal'))"
2017-04-05,"Rajiv Gandhi International Stadium, Uppal","('Royal Challengers Bangalore', 'Sunrisers Hyderabad')",Royal Challengers Bangalore,field,Sunrisers Hyderabad,"(('A Choudhary', 'CH Gayle', 'KM Jadhav', 'Mandeep Singh', 'S Aravind', 'SR Watson', 'STR Binny', 'Sachin Baby', 'TM Head', 'TS Mills', 'YS Chahal'), ('A Nehra', 'B Kumar', 'BCJ Cutting', 'Bipul Sharma', 'DA Warner', 'DJ Hooda', 'MC Henriques', 'NV Ojha', 'Rashid Khan', 'S Dhawan', 'Yuvraj Singh'))"
2022-05-22,"Wankhede Stadium, Mumbai","('Punjab Kings', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Punjab Kings,"(('Arshdeep Singh', 'Harpreet Brar', 'JM Bairstow', 'JM Sharma', 'K Rabada', 'LS Livingstone', 'M Shahrukh Khan', 'MA Agarwal', 'NT Ellis', 'PN Mankad', 'S Dhawan'), ('AK Markram', 'Abhishek Sharma', 'B Kumar', 'Fazalhaq Farooqi', 'J Suchith', 'N Pooran', 'PK Garg', 'R Shepherd', 'RA Tripathi', 'Umran Malik', 'Washington Sundar'))"
2016-04-18,"Rajiv Gandhi International Stadium, Uppal","('Mumbai Indians', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,field,Sunrisers Hyderabad,"(('AT Rayudu', 'HH Pandya', 'Harbhajan Singh', 'JC Buttler', 'JJ Bumrah', 'KH Pandya', 'MJ Guptill', 'MJ McClenaghan', 'PA Patel', 'RG Sharma', 'TG Southee'), ('A Ashish Reddy', 'B Kumar', 'BB Sran', 'Bipul Sharma', 'DA Warner', 'DJ Hooda', 'EJG Morgan', 'MC Henriques', 'Mustafizur Rahman', 'NV Ojha', 'S Dhawan'))"
2022-03-31,"Brabourne Stadium, Mumbai","('Chennai Super Kings', 'Lucknow Super Giants')",Lucknow Super Giants,field,Lucknow Super Giants,"(('AT Rayudu', 'D Pretorius', 'DJ Bravo', 'MM Ali', 'MS Dhoni', 'Mukesh Choudhary', 'RA Jadeja', 'RD Gaikwad', 'RV Uthappa', 'S Dube', 'TU Deshpande'), ('A Badoni', 'AJ Tye', 'Avesh Khan', 'DJ Hooda', 'E Lewis', 'KH Pandya', 'KL Rahul', 'MK Pandey', 'PVD Chameera', 'Q de Kock', 'Ravi Bishnoi'))"
2019-04-22,Sawai Mansingh Stadium,"('Delhi Capitals', 'Rajasthan Royals')",Delhi Capitals,field,Delhi Capitals,"(('A Mishra', 'AR Patel', 'CA Ingram', 'CH Morris', 'I Sharma', 'K Rabada', 'PP Shaw', 'RR Pant', 'S Dhawan', 'SE Rutherford', 'SS Iyer'), ('AJ Turner', 'AM Rahane', 'BA Stokes', 'DS Kulkarni', 'JC Archer', 'JD Unadkat', 'R Parag', 'S Gopal', 'SPD Smith', 'STR Binny', 'SV Samson'))"
2014-04-26,Sheikh Zayed Stadium,"('Kings XI Punjab', 'Kolkata Knight Riders')",Kolkata Knight Riders,field,Kings XI Punjab,"(('AR Patel', 'CA Pujara', 'DA Miller', 'GJ Bailey', 'GJ Maxwell', 'L Balaji', 'MG Johnson', 'R Dhawan', 'Sandeep Sharma', 'V Sehwag', 'WP Saha'), ('CA Lynn', 'G Gambhir', 'JH Kallis', 'M Morkel', 'MK Pandey', 'PP Chawla', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'UT Yadav', 'YK Pathan'))"
2012-05-12,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Delhi Daredevils')",Chennai Super Kings,field,Chennai Super Kings,"(('BW Hilfenhaus', 'DJ Bravo', 'JA Morkel', 'M Vijay', 'MEK Hussey', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Anirudha', 'SB Jakati', 'SK Raina'), ('DA Warner', 'DPMD Jayawardene', 'IK Pathan', 'M Morkel', 'NV Ojha', 'RE van der Merwe', 'UT Yadav', 'V Sehwag', 'VR Aaron', 'Y Nagar', 'Y Venugopal Rao'))"
2008-05-03,M Chinnaswamy Stadium,"('Deccan Chargers', 'Royal Challengers Bangalore')",Deccan Chargers,field,Royal Challengers Bangalore,"(('AC Gilchrist', 'AS Yadav', 'DP Vijaykumar', 'HH Gibbs', 'PP Ojha', 'RG Sharma', 'RP Singh', 'SB Bangar', 'SB Styris', 'Shahid Afridi', 'VVS Laxman'), ('A Kumble', 'B Chipli', 'DW Steyn', 'JH Kallis', 'MV Boucher', 'Misbah-ul-Haq', 'P Kumar', 'R Dravid', 'V Kohli', 'W Jaffer', 'Z Khan'))"
2015-05-12,Shaheed Veer Narayan Singh International Stadium,"('Chennai Super Kings', 'Delhi Daredevils')",Chennai Super Kings,bat,Delhi Daredevils,"(('BB McCullum', 'DJ Bravo', 'DR Smith', 'F du Plessis', 'IC Pandey', 'MM Sharma', 'MS Dhoni', 'P Negi', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('GS Sandhu', 'J Yadav', 'JA Morkel', 'JP Duminy', 'KM Jadhav', 'Q de Kock', 'S Nadeem', 'SS Iyer', 'SS Tiwary', 'Yuvraj Singh', 'Z Khan'))"
2024-05-11,"Eden Gardens, Kolkata","('Kolkata Knight Riders', 'Mumbai Indians')",Mumbai Indians,field,Kolkata Knight Riders,"(('AD Russell', 'CV Varun', 'Harshit Rana', 'MA Starc', 'N Rana', 'PD Salt', 'RK Singh', 'Ramandeep Singh', 'SP Narine', 'SS Iyer', 'VG Arora', 'VR Iyer'), ('A Kamboj', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'N Thushara', 'N Wadhera', 'Naman Dhir', 'PP Chawla', 'RG Sharma', 'SA Yadav', 'TH David', 'Tilak Varma'))"
2021-09-19,Dubai International Cricket Stadium,"('Chennai Super Kings', 'Mumbai Indians')",Chennai Super Kings,bat,Chennai Super Kings,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'F du Plessis', 'JR Hazlewood', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'SK Raina', 'SN Thakur'), ('AF Milne', 'Anmolpreet Singh', 'Ishan Kishan', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'SA Yadav', 'SS Tiwary', 'TA Boult'))"
2009-04-30,SuperSport Park,"('Deccan Chargers', 'Delhi Daredevils')",Delhi Daredevils,field,Delhi Daredevils,"(('AA Bilakhia', 'AC Gilchrist', 'DR Smith', 'FH Edwards', 'HH Gibbs', 'PP Ojha', 'RG Sharma', 'RP Singh', 'Shoaib Ahmed', 'TL Suman', 'Y Venugopal Rao'), ('A Mishra', 'A Nehra', 'AB de Villiers', 'DL Vettori', 'DP Nannes', 'G Gambhir', 'KD Karthik', 'M Manhas', 'PJ Sangwan', 'TM Dilshan', 'V Sehwag'))"
2023-04-27,"Sawai Mansingh Stadium, Jaipur","('Chennai Super Kings', 'Rajasthan Royals')",Rajasthan Royals,bat,Rajasthan Royals,"(('AM Rahane', 'AT Rayudu', 'Akash Singh', 'DP Conway', 'M Pathirana', 'M Theekshana', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'S Dube', 'TU Deshpande'), ('A Zampa', 'D Padikkal', 'Dhruv Jurel', 'JC Buttler', 'JO Holder', 'K Yadav', 'R Ashwin', 'SO Hetmyer', 'SV Samson', 'Sandeep Sharma', 'YBK Jaiswal', 'YS Chahal'))"
2024-04-23,"MA Chidambaram Stadium, Chepauk, Chennai","('Chennai Super Kings', 'Lucknow Super Giants')",Lucknow Super Giants,field,Lucknow Super Giants,"(('AM Rahane', 'DJ Mitchell', 'DL Chahar', 'M Pathirana', 'MM Ali', 'MS Dhoni', 'Mustafizur Rahman', 'RA Jadeja', 'RD Gaikwad', 'S Dube', 'SN Thakur', 'TU Deshpande'), ('A Badoni', 'D Padikkal', 'DJ Hooda', 'KH Pandya', 'KL Rahul', 'MJ Henry', 'MP Stoinis', 'Mohsin Khan', 'N Pooran', 'Q de Kock', 'Ravi Bishnoi', 'Yash Thakur'))"
2015-05-01,Wankhede Stadium,"('Mumbai Indians', 'Rajasthan Royals')",Rajasthan Royals,field,Mumbai Indians,"(('AT Rayudu', 'Harbhajan Singh', 'J Suchith', 'KA Pollard', 'LMP Simmons', 'MJ McClenaghan', 'PA Patel', 'R Vinay Kumar', 'RG Sharma', 'SL Malinga', 'UBT Chand'), ('AM Rahane', 'Ankit Sharma', 'DJ Hooda', 'DS Kulkarni', 'J Theron', 'KK Nair', 'SPD Smith', 'SR Watson', 'STR Binny', 'SV Samson', 'TG Southee'))"
2012-04-21,Feroz Shah Kotla,"('Delhi Daredevils', 'Pune Warriors')",Delhi Daredevils,field,Pune Warriors,"(('DPMD Jayawardene', 'IK Pathan', 'KP Pietersen', 'LRPL Taylor', 'M Morkel', 'NV Ojha', 'P Negi', 'S Nadeem', 'UT Yadav', 'V Sehwag', 'Y Nagar'), ('A Nehra', 'AC Thomas', 'AD Mathews', 'JD Ryder', 'M Kartik', 'M Manhas', 'MK Pandey', 'R Sharma', 'RV Uthappa', 'SC Ganguly', 'SPD Smith'))"
2009-04-23,Newlands,"('Kolkata Knight Riders', 'Rajasthan Royals')",Kolkata Knight Riders,field,no-result,"(('AB Agarkar', 'Anureet Singh', 'BAW Mendis', 'BB McCullum', 'BJ Hodge', 'CH Gayle', 'I Sharma', 'LR Shukla', 'SB Bangar', 'SC Ganguly', 'Yashpal Singh'), ('AD Mascarenhas', 'AS Raut', 'GC Smith', 'Kamran Khan', 'M Rawat', 'MM Patel', 'PC Valthaty', 'RA Jadeja', 'RJ Quiney', 'SK Warne', 'YK Pathan'))"
2025-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","('Lucknow Super Giants', 'Punjab Kings')",Punjab Kings,field,Punjab Kings,"(('A Badoni', 'AK Markram', 'Abdul Samad', 'Avesh Khan', 'DA Miller', 'DS Rathi', 'M Siddharth', 'MR Marsh', 'N Pooran', 'RR Pant', 'Ravi Bishnoi', 'SN Thakur'), ('Arshdeep Singh', 'GJ Maxwell', 'LH Ferguson', 'M Jansen', 'MP Stoinis', 'N Wadhera', 'P Simran Singh', 'Priyansh Arya', 'SS Iyer', 'Shashank Singh', 'Suryansh Shedge', 'YS Chahal'))"
2011-04-20,Eden Gardens,"('Kochi Tuskers Kerala', 'Kolkata Knight Riders')",Kolkata Knight Riders,field,Kochi Tuskers Kerala,"(('BB McCullum', 'BJ Hodge', 'DPMD Jayawardene', 'KM Jadhav', 'M Muralitharan', 'PA Patel', 'R Vinay Kumar', 'RA Jadeja', 'RP Singh', 'RR Powar', 'RV Gomez'), ('B Lee', 'EJG Morgan', 'G Gambhir', 'Iqbal Abdulla', 'JH Kallis', 'L Balaji', 'MK Tiwary', 'MS Bisla', 'R Bhatia', 'Shakib Al Hasan', 'YK Pathan'))"
2014-04-17,Sharjah Cricket Stadium,"('Delhi Daredevils', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('JDS Neesham', 'JP Duminy', 'KD Karthik', 'LRPL Taylor', 'M Vijay', 'MA Agarwal', 'MK Tiwary', 'Mohammed Shami', 'R Sharma', 'S Nadeem', 'WD Parnell'), ('AB Dinda', 'AB de Villiers', 'JA Morkel', 'MA Starc', 'NJ Maddinson', 'PA Patel', 'S Rana', 'V Kohli', 'VR Aaron', 'YS Chahal', 'Yuvraj Singh'))"
2022-04-30,"Dr DY Patil Sports Academy, Mumbai","('Mumbai Indians', 'Rajasthan Royals')",Mumbai Indians,field,Mumbai Indians,"(('DR Sams', 'HR Shokeen', 'Ishan Kishan', 'JJ Bumrah', 'K Kartikeya', 'KA Pollard', 'RG Sharma', 'RP Meredith', 'SA Yadav', 'TH David', 'Tilak Varma'), ('D Padikkal', 'DJ Mitchell', 'JC Buttler', 'KR Sen', 'M Prasidh Krishna', 'R Ashwin', 'R Parag', 'SO Hetmyer', 'SV Samson', 'TA Boult', 'YS Chahal'))"
2012-04-16,Wankhede Stadium,"('Delhi Daredevils', 'Mumbai Indians')",Delhi Daredevils,field,Delhi Daredevils,"(('AB Agarkar', 'DPMD Jayawardene', 'IK Pathan', 'KP Pietersen', 'LRPL Taylor', 'M Morkel', 'NV Ojha', 'S Nadeem', 'UT Yadav', 'V Sehwag', 'Y Nagar'), ('AT Rayudu', 'CJ McKay', 'DJ Jacobs', 'Harbhajan Singh', 'KA Pollard', 'KD Karthik', 'MM Patel', 'PP Ojha', 'RE Levi', 'RG Sharma', 'RP Singh'))"
2025-05-23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","('Royal Challengers Bengaluru', 'Sunrisers Hyderabad')",Royal Challengers Bengaluru,field,Sunrisers Hyderabad,"(('B Kumar', 'JM Sharma', 'KH Pandya', 'L Ngidi', 'MA Agarwal', 'PD Salt', 'R Shepherd', 'RM Patidar', 'Suyash Sharma', 'TH David', 'V Kohli', 'Yash Dayal'), ('A Manohar', 'Abhishek Sharma', 'Aniket Verma', 'E Malinga', 'H Klaasen', 'HV Patel', 'Harsh Dubey', 'Ishan Kishan', 'JD Unadkat', 'Nithish Kumar Reddy', 'PJ Cummins', 'TM Head'))"
2025-03-29,"Narendra Modi Stadium, Ahmedabad","('Gujarat Titans', 'Mumbai Indians')",Mumbai Indians,field,Gujarat Titans,"(('B Sai Sudharsan', 'I Sharma', 'JC Buttler', 'K Rabada', 'M Prasidh Krishna', 'M Shahrukh Khan', 'Mohammed Siraj', 'R Sai Kishore', 'R Tewatia', 'Rashid Khan', 'SE Rutherford', 'Shubman Gill'), ('DL Chahar', 'HH Pandya', 'MJ Santner', 'Mujeeb Ur Rahman', 'Naman Dhir', 'PVSN Raju', 'R Minz', 'RD Rickelton', 'RG Sharma', 'SA Yadav', 'TA Boult', 'Tilak Varma'))"
2009-04-21,Kingsmead,"('Kings XI Punjab', 'Kolkata Knight Riders')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('DPMD Jayawardene', 'IK Pathan', 'K Goel', 'KC Sangakkara', 'PP Chawla', 'RS Bopara', 'T Kohli', 'VRV Singh', 'VS Malik', 'YA Abdulla', 'Yuvraj Singh'), ('A Chopra', 'AB Dinda', 'BB McCullum', 'BJ Hodge', 'CH Gayle', 'I Sharma', 'LR Shukla', 'M Kartik', 'MC Henriques', 'SC Ganguly', 'Yashpal Singh'))"
2016-04-17,"Punjab Cricket Association IS Bindra Stadium, Mohali","('Kings XI Punjab', 'Rising Pune Supergiants')",Rising Pune Supergiants,bat,Kings XI Punjab,"(('AR Patel', 'DA Miller', 'GJ Maxwell', 'KJ Abbott', 'M Vijay', 'M Vohra', 'MM Sharma', 'P Sahu', 'SE Marsh', 'Sandeep Sharma', 'WP Saha'), ('AM Rahane', 'Ankit Sharma', 'F du Plessis', 'I Sharma', 'IK Pathan', 'KP Pietersen', 'M Ashwin', 'MS Dhoni', 'NLTC Perera', 'R Ashwin', 'SPD Smith'))"
2008-04-23,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Mumbai Indians')",Mumbai Indians,field,Chennai Super Kings,"(('JDP Oram', 'Joginder Sharma', 'M Muralitharan', 'MEK Hussey', 'ML Hayden', 'MS Dhoni', 'MS Gony', 'P Amarnath', 'PA Patel', 'S Badrinath', 'SK Raina'), ('A Nehra', 'AM Nayar', 'DJ Bravo', 'DS Kulkarni', 'Harbhajan Singh', 'L Ronchi', 'MA Khote', 'RV Uthappa', 'SM Pollock', 'ST Jayasuriya', 'VS Yeligati'))"
2022-04-13,"Maharashtra Cricket Association Stadium, Pune","('Mumbai Indians', 'Punjab Kings')",Mumbai Indians,field,Punjab Kings,"(('Basil Thampi', 'D Brevis', 'Ishan Kishan', 'JD Unadkat', 'JJ Bumrah', 'KA Pollard', 'M Ashwin', 'RG Sharma', 'SA Yadav', 'TS Mills', 'Tilak Varma'), ('Arshdeep Singh', 'JM Bairstow', 'JM Sharma', 'K Rabada', 'LS Livingstone', 'M Shahrukh Khan', 'MA Agarwal', 'OF Smith', 'RD Chahar', 'S Dhawan', 'VG Arora'))"
